Player_Name,Nationality,Primary_Role,Price_Category,Base_Price_PKR_Cr,Final_Price_PKR_Cr,Final_Price_USD_Approx,Franchise,Acquisition_Type,Auction_Round,Status
Asif Ali,Pakistan,Batter,Gold,1.1,1.1,3949000.0,Lahore Qalandars,Auction,Round 3,Sold
Tayyab Tahir,Pakistan,Batter,Gold,1.1,1.5,5385000.0,Lahore Qalandars,Auction,Round 3,Sold
Parvez Hossain Emon,Bangladesh,Batter,Gold,1.1,1.1,3949000.0,Lahore Qalandars,Auction,Round 3,Sold
Hussain Talat,Pakistan,All-Rounder,Silver,0.775,0.775,2782250.0,Lahore Qalandars,Auction,Round 3,Sold
Momin Qamar,Pakistan,Bowler,Gold,1.075,1.075,3859250.0,Sialkot Stallionz,Auction,Round 3,Sold
Mohammad Hasnain,Pakistan,Bowler,Silver,0.6,1.1,3949000.0,Islamabad United,Auction,Round 4,Sold
Kamran Ghulam,Pakistan,Batter,Silver,0.6,0.6,2154000.0,Rawalpindi,Auction,Round 4,Sold
Asif Mehmood,Pakistan,Bowler,Silver,0.6,0.6,2154000.0,Hyderabad Houston Kingsmen,Auction,Round 4,Sold
Rizwan Mehmood,Pakistan,All-Rounder,Silver,0.6,0.6,2154000.0,Hyderabad Houston Kingsmen,Auction,Round 4,Sold
Hunain Shah,Pakistan,Bowler,Silver,0.6,0.6,2154000.0,Hyderabad Houston Kingsmen,Auction,Round 4,Sold
Sharjeel Khan,Pakistan,Batter,Silver,0.6,1.5,5385000.0,Hyderabad Houston Kingsmen,Auction,Round 4,Sold
Hammad Azam,Pakistan,All-Rounder,Silver,0.6,0.6,2154000.0,Hyderabad Houston Kingsmen,Auction,Round 4,Sold
Hassan Khan,Pakistan,All-Rounder,Silver,0.6,0.6,2154000.0,Hyderabad Houston Kingsmen,Auction,Round 4,Sold
Shayan Jahangir,USA,Batter,Silver,0.6,0.6,2154000.0,Hyderabad Houston Kingsmen,Auction,Round 4,Sold
Ottniel Baartman,South Africa,Bowler,Silver,0.6,0.6,2154000.0,Hyderabad Houston Kingsmen,Auction,Round 4,Sold
Riley Meredith,Australia,Bowler,Silver,0.6,0.6,2154000.0,Hyderabad Houston Kingsmen,Auction,Round 4,Sold
Shahzaib Khan,Pakistan,Batter,Silver,0.6,0.6,2154000.0,Rawalpindi,Auction,Round 4,Sold
Mir Hamza,Pakistan,Bowler,Silver,0.6,0.6,2154000.0,Karachi Kings,Auction,Round 4,Sold
Muhammad Waseem,UAE,Batter,Silver,0.6,1.1,3949000.0,Karachi Kings,Auction,Round 4,Sold
Mirza Tahir Baig,Pakistan,Wicketkeeper,Silver,0.6,0.6,2154000.0,Peshawar Zalmi,Auction,Round 4,Sold
Richard Gleeson,England,Bowler,Silver,0.6,0.6,2154000.0,Islamabad United,Auction,Round 4,Sold
Laurie Evans,England,Batter,Silver,0.6,0.6,2154000.0,Rawalpindi,Auction,Round 5,Sold
Tabraiz Shamsi,South Africa,Bowler,Silver,0.6,0.6,2154000.0,Karachi Kings,Auction,Round 5,Sold
Ben McDermott,Australia,Batter,Silver,0.6,1.1,3949000.0,Quetta Gladiators,Auction,Round 5,Sold
Bevon Jacobs,West Indies,All-Rounder,Emerging,0.6,0.6,2154000.0,Quetta Gladiators,Auction,Round 6,Sold
Shai Hope,West Indies,Wicketkeeper,Silver,0.6,1.3,4667000.0,Karachi Kings,Auction,Round 6,Sold
